name_new,Name,category_new,Category,Summary
Adoption by God,Sonship (Adoption by God),Theology - Systematic,Theology - Salvation,Adoption of believers by God through Jesus.
Apologetics,Evidence for the Faith,Apologetics,Worldview - Apologetics,Apologetics and arguments for the Christian faith.
Apologetics,General Apologetics,Apologetics,Worldview - Apologetics,Apologetics and arguments for the Christian faith.
Apologetics,Science,Apologetics,Worldview - Apologetics,Apologetics and arguments for the Christian faith.
Arts,Art/Literature/Media,"Politics, Culture, and Ethics",Worldview - Arts,Christian interaction and perspectives on the arts
Assurance,Assurance of Salvation/Doubt,Christian Life,Christian Life - Life Issues,Confidence in one's salvation and dealing with doubts.
Atheism,Atheism,"Politics, Culture, and Ethics",Worldview - Apologetics,Understanding and responding to atheism.
Baptism and Church Membership,Baptism & Church Membership,Church,Church - Practises,The meaning an significance of baptism and other forms of church membership.
Bible Book Overviews,Bible Book Overviews,Biblical Studies,Theology - Biblical Studies,Overviews of individual Bible books.
Bible Interpretation,Bible Prophecy,Biblical Studies,Theology - Biblical Studies,Teaching and understanding the Bible
Bible Interpretation,Bible Translation & Interpretation,Biblical Studies,Theology - Biblical Studies,Teaching and understanding the Bible
Biblical Counselling,Biblical Counselling,Christian Life,Christian Life - Life Issues,The provision of counsel from the Bible
Biblical Figures,New Testament Biblical Figures,Biblical Studies,Theology - Biblical Studies,Individuals from the Bible
Biblical Figures,Old Testament Biblical Figures,Biblical Studies,Theology - Biblical Studies,Individuals from the Bible
Bioethics,Abortion/Bioethics,"Politics, Culture, and Ethics",Worldview - Ethics,Biblical perspective on matters of the beginning of life
Biography,Christian Biography,History,History,Lives of Christians through history.
Christianity in Public Life,Christianity in Public Life,"Politics, Culture, and Ethics",Worldview - Public Life,Living out Christian life in the public sphere
Christmas,Christmas,Church,Church - Practises,The celebration of the birth of Jesus.
Church Discipline,Church Discipline,Church,Church - Practises,Correcting and restoring believers within the church. 
Church History,Church History,History,History,The history of the Christian Church.
Church Leadership,Spiritual Leadership,Church,Church - Leadership,Church leadership characterics and gifts.
Church Life,Nature of the Church/Church Issues,Church,Church - Church Life,The church.
Church Planting,Church Planting,Church,Church - Practises,Starting new churches.
Courage,Courage & Boldness,Christian Life,Christian Life - Life Issues,Living out faith with God-given bravery.
Creation,Creation,Theology - Systematic,Theology - Salvation,The origin of the world.
Cults and the Occult,Cults & The Occult,"Politics, Culture, and Ethics",Worldview - Apologetics,Recognizing and addressing cults and occult practices.
Culture,Culture,"Politics, Culture, and Ethics",Worldview - Public Life,Understanding and speaking into secular culture in all its forms
Death and Dying,Death & Dying,Christian Life,Christian Life - Life Issues,The Bible's teaching on the end of life.
Discipleship,Conscience,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Encouragement,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Fear & Anxiety,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Forgiving Others,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Gratitude/Contentment,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Hope/Joy,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Knowing God's Will/Guidance,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Life of the Body,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Loving Others,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Pride & Humility,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Speech,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Spiritual Warfare/Temptation,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Wisdom,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Work & Vocation,Christian Life,Christian Life - Life Issues,Teaching to grow individuals in their Christian walk
Discipleship,Christian Freedom,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Devotional Life/Quiet Times,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Discipleship,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Education,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Fasting,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Fruit of the Spirit,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Life of the Mind,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,Personal Holiness/Obedience,Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Discipleship,"Sanctification, Growth, God's Discipline",Christian Life,Christian Life - Spiritual Growth,Teaching to grow individuals in their Christian walk
Easter,Easter,Church,Church - Practises,The celebration of the resurrection of Jesus.
Education,Education,"Politics, Culture, and Ethics",Worldview - Public Life,Christian view of education.
Eldership,Biblical Eldership,Church,Church - Leadership,How the Bible teaches church leadership structures.
Environment,Environment,"Politics, Culture, and Ethics",Worldview - Public Life,Biblical stewardship of the environment and engagement with idea of climate change and environmental impact.
Evangelism,Evangelism,Christian Life,Church - Practises,Sharing the Christian faith with others.
Faith,Faith,Theology - Systematic,Theology - Salvation,Belief and trust in God and His promises.
False Teaching,False Teaching,Church,Worldview - Apologetics,Identifying and responding to incorrect doctrines.
Gender,Gender,"Politics, Culture, and Ethics",Worldview - Ethics,Biblical teaching on gender.
Gender,Gender & Sexuality,"Politics, Culture, and Ethics",Worldview - Ethics,Biblical teaching on gender.
Government and Politics,Government/Politics,"Politics, Culture, and Ethics",Worldview - Public Life,Christian engagement with and perspecties on governance.
Heaven and Hell and the Spiritual Realm,Heaven & Hell,Theology - Systematic,Theology - Salvation,"Theology of heaven, hell, angels, and demons."
Hospitality,Fellowship & Hospitality,Christian Life,Christian Life - Life Issues,Church community and hospitality.
Incarnation,The Birth of Christ/Incarnation,"Theology - God; Father, Son, and Spirit",Theology - Jesus Christ, The embodiment of the second person of the Trinity as human form in Jesus.
Inspiration and Inerrancy of the Bible,Inspiration & Inerrancy of the Bible,Biblical Studies,Theology - Biblical Studies,The doctrine of the source and faultlessness of the Bible.
Jesus Christ's Death,The Death of Christ/Atonement/Priesthood,"Theology - God; Father, Son, and Spirit",Theology - Jesus Christ,Jesus' sacrificial death for mankind.
Jesus Christ's Person and Deity,The Deity of Christ/Person of Christ,"Theology - God; Father, Son, and Spirit",Theology - Jesus Christ,Understanding Jesus' divine and human nature and the implications thereof.
Jesus' Second Coming,End Times / Return of Christ,Theology - Systematic,Theology - Salvation,Prophecies and beliefs regarding the end of the world and Christ's return.
Justification,Justification,Theology - Systematic,Theology - Salvation,Being declared righteous before God. 
Kingdom of God,Kingdom of God,Theology - Systematic,Theology - Biblical Studies,The now and not yet of Jesus' rule.
Marriage,Divorce & Remarriage,Christian Life,Family,What the Bible says about the breakup of marriage.
Marriage,Marriage,Christian Life,Family,Biblical foundation and principles for marriage.
Men and Women,Biblical Manhood & Womanhood,Christian LIfe,Family,Roles of men and women according to the Bible.
Men and Women,Women,Christian Life,Family,Roles and teaching specifically for women.
Men and Women,Men,Christian Life,Family,Roles and teaching specifically for men.
Middle East,Middle East,"Politics, Culture, and Ethics",Worldview - Public Life,The geography and politics of the Middle East.
Ministry,Multi-Site Church Ministry,Church,Church - Church Life,Church ministry
Ministry,Pastoral Ministry,Church,Church - Leadership,Church ministry
Ministry,Ministry/Urban Ministry,Church,Church - Practises,Church ministry
Mission,Missions,Church,Church - Practises,"Sharing the gospel outside the church, often overseas. particularly overseas. "
Money and Giving,Money,Christian Life,Christian Life - Life Issues,Biblical teaching on money and giving.
Money and Giving,Giving,Christian Life,Christian Life - Spiritual Growth,Biblical teaching on money and giving.
Parenting,Parenting,Christian Life,Family,Biblical principles for parenting.
Parenting,Children,Christian Life,Family,Biblical principles for parenting.
Perseverance of the Saints,Perseverance of the Saints,Theology - Systematic,Theology - Salvation,The doctrine of believers continuing in faith to the end.
Poverty,Poverty,"Politics, Culture, and Ethics",Worldview - Ethics,Understanding and addressing poverty.
Prayer,Prayer,Christian Life,Christian Life - Spiritual Growth,Speaking to God.
Preaching and Teaching,Preaching & Teaching,Church,Church - Leadership,Teaching the Bible publically.
Predestination and Election,Predestination/Election,Theology - Systematic,Theology - Salvation,God's sovereignty in choosing those who will be saved.
Public Life,Public Justice,"Politics, Culture, and Ethics",Worldview - Ethics,Biblical justice in the public sphere.
Racial Harmony,Racial Harmony,"Politics, Culture, and Ethics",Worldview - Ethics,The cultural topic of race through a biblical lense.
Redemptive History,Redemptive History,Theology - Systematic,Theology - Biblical Studies,The narrative of God's eternal plan to redeem all of creation.
Regeneration,Regeneration / New Birth,Theology - Systematic,Theology - Salvation,The spiritual renewal and rebirth of a believer.
Repentance,Repentance,Theology - Systematic,Theology - Salvation,Turning away from sin and towards God.
Resurrection of Believers,Glorification / Resurrection of the Body,Theology - Systematic,Theology - Salvation,Physical transformation of the body promised to believers.
Satan,Satan,Theology - Systematic,Theology - Sin,The deceiver as defined in the Bible.
Serving,Spiritual Gifts/Serving,Christian Life,Christian Life - Spiritual Growth,Understanding and addressing poverty.
Sex and Relationships,Sexual Purity/Relationships,Christian Life,Christian Life - Life Issues,What God says about sex and relationships.
Sexuality,Human Sexuality,"Politics, Culture, and Ethics",Worldview - Apologetics,"Characteristics and expression of being male or female, including sexual desires and behaviours."
Sin,Imputed & Original Sin,Theology - Systematic,Theology - Sin,Sin as inherited from Adam.
Sin,Indwelling Sin,Theology - Systematic,Theology - Sin,Ongoing battle with sin in the Christian life.
Small Groups,Small Groups,Church,Church - Church Life,Small group fellowship in churches.
Social Issues,Social Issues,"Politics, Culture, and Ethics",Worldview - Ethics,Questions over current social issues.
Suffering,Persecution & Martyrdom,Christian Life,Christian Life - Life Issues,Stories and teachings on suffering for faith.
Suffering,Suffering/Sickness,Christian Life,Christian Life - Life Issues,Understanding and comfort for suffering.
Mental Health,Mental Health,Christian Life,Christian Life - Life Issues,Biblical perspectives and pastoral care related to mental health.
Technology,Technology,"Politics, Culture, and Ethics",Worldview - Arts,Understanding technology through a biblical lens.
Terrorism,Terrorism,"Politics, Culture, and Ethics",Worldview - Public Life,Addressing terrorism from a biblical standpoint.
Testimony,Testimonies,Christian Life,Christian Life - Spiritual Growth,Personal stories of God's work in people's lives.
The Covenants,The Covenants,Theology - Systematic,Theology - Biblical Studies,The promises from God with man marking his relationship with them.
The Fall,The Fall,Theology - Systematic,Theology - Sin,The original rebellion of humans against God.
The Foreknowledge of God,The Foreknowledge of God,"Theology - God; Father, Son, and Spirit",Theology - God,God's knowledge of future events.
The Glory of God,The Glory of God,"Theology - God; Father, Son, and Spirit",Theology - God,Understanding the majesty and splendour of God.
The Gospel,The Gospel,Theology - Systematic,Theology - Salvation,"The good news of Jesus Christ's life, death, and resurrection."
The Grace of God,The Grace of God,"Theology - God; Father, Son, and Spirit",Theology - God,God's unmerited favour towards humanity.
The Holiness of God,The Holiness of God,"Theology - God; Father, Son, and Spirit",Theology - God,God's absolute moral perfection.
The Holy Spirit,The Holy Spirit,"Theology - God; Father, Son, and Spirit",Theology - God,The work and presence of the third person of the Trinity.
The Law,The Law,Theology - Systematic,Theology - Salvation,"The commandments and teaching given by God, particularly in the Old Testament through Moses."
The Life of Christ,The Life of Christ/Work/Miracles,"Theology - God; Father, Son, and Spirit",Theology - Jesus Christ,"The life, work, and teaching of Jesus."
The Lord's Day,The Lord's Day,Church,Church - Practises,Sunday.
The Lord's Supper,The Lord's Supper,Church,Church - Practises,The practice of taking bread and wine as communion.
The Love of God,The Love of God,"Theology - God; Father, Son, and Spirit",Theology - God,God's love for humanity.
The Pleasures of God,The Pleasures of God,"Theology - God; Father, Son, and Spirit",Theology - God,Understanding what delights God.
The Power and Effects of Sin,The Power & Effects of Sin,Theology - Systematic,Theology - Sin,Sin's impact on individuals and the world. 
The Resurrection of Christ,The Resurrection of Christ,"Theology - God; Father, Son, and Spirit",Theology - Jesus Christ,Jesus' victory over death.
The Sovereignty of God,The Sovereignty of God,"Theology - God; Father, Son, and Spirit",Theology - God,God's authority and supreme power.
The Supremacy of Christ,The Supremacy of Christ,"Theology - God; Father, Son, and Spirit",Theology - Jesus Christ,The preeminence and ultimate authority of Jesus.
The Trinity,The Trinity,"Theology - God; Father, Son, and Spirit",Theology - God,"The doctrine of three persons in one God, Father, Son, and Holy Spirit. "
The Wrath of God,The Wrath of God,"Theology - God; Father, Son, and Spirit",Theology - God,God's righteous anger.
Biblical and Systematic Theology,Theology - Biblical/Systematic,Theology - Systematic,Theology - Biblical Studies,Systematic topics of faith from scripture.  
Truth,Truth,"Politics, Culture, and Ethics",Worldview - Apologetics,The nature of truth according to the Bible.
Unity,Christian Unity,Church,Church - Church Life,The unity between the people of Christ.
Women's Ministry,Women's Ministry,Church,Church - Leadership,Running teaching particularly for women in the church.
Word Religions,World Religions,"Politics, Culture, and Ethics",Worldview - Apologetics,Other religions in light of Christianity.
Worship,Worship,Church,Church - Practises,The act and heart of worshiping God.
Youth and Children's Ministry,Children's & Youth Ministry,Church,Church - Leadership,Running teaching particularly for children and young people in the church.
The Trinity,THEOLOGY - GOD,"Theology - God; Father, Son, and Spirit",Theology - God,"The doctrine of three persons in one God, Father, Son, and Holy Spirit. "
Arts,WORLDVIEW - ARTS,"Politics, Culture, and Ethics",Worldview - Arts,Christian interaction and perspectives on the arts
Parenting,FAMILY,Christian Life,Family,Biblical principles for parenting.
Evangelism,Evangelism WORLDVIEW - ARTS,Christian Life,Church - Practises,Sharing the Christian faith with others.
Biblical and Systematic Theology,Theology - Biblical/Systematic THEOLOGY- GOD,Theology - Systematic,Theology - Biblical Studies,Systematic topics of faith from scripture.  
Misc.,misc.,,,Uncategorised
The Trinity,THEOLOGY- GOD,"Theology - God; Father, Son, and Spirit",Theology - God,"The doctrine of three persons in one God, Father, Son, and Holy Spirit. "